읍면동,구 이름,동 이름,전체평균연령,남자,여자,약국,여성 복지 시설수,학원수 (개),지역 문화 복지 시설,영화관,박물관,미술관,공연장,공원수,도서관 수,녹지 만족도(10점 평균),소음,대기오염,휴식공간 및 녹지부족,수질오염,범죄 폭력,길거리의 쓰레기방치,주차질서
1104071,성동구,왕십리도선동,42.9,42.4,43.3,150,0,294,13,2,3,2,10,100,7,6.41,66.9,56.9,67.0,69.3,66.5,62.8,51.2
1104073,성동구,옥수동,43.7,42.8,44.5,150,0,294,13,2,3,2,10,100,7,6.41,66.9,56.9,67.0,69.3,66.5,62.8,51.2
1105053,광진구,화양동,37.3,38.1,36.6,176,0,441,9,6,3,0,14,68,7,5.58,70.2,65.9,69.0,75.6,66.7,54.8,48.6
1105054,광진구,군자동,43.7,43.0,44.3,176,0,441,9,6,3,0,14,68,7,5.58,70.2,65.9,69.0,75.6,66.7,54.8,48.6
1105055,광진구,중곡1동,44.6,44.6,44.7,176,0,441,9,6,3,0,14,68,7,5.58,70.2,65.9,69.0,75.6,66.7,54.8,48.6
1105056,광진구,중곡2동,44.8,44.2,45.3,176,0,441,9,6,3,0,14,68,7,5.58,70.2,65.9,69.0,75.6,66.7,54.8,48.6
1105057,광진구,중곡3동,46.2,45.4,47.0,176,0,441,9,6,3,0,14,68,7,5.58,70.2,65.9,69.0,75.6,66.7,54.8,48.6
1105058,광진구,중곡4동,47.0,45.9,48.0,176,0,441,9,6,3,0,14,68,7,5.58,70.2,65.9,69.0,75.6,66.7,54.8,48.6
1105059,광진구,능동,42.8,42.6,43.0,176,0,441,9,6,3,0,14,68,7,5.58,70.2,65.9,69.0,75.6,66.7,54.8,48.6
1105060,광진구,구의1동,43.1,42.7,43.5,176,0,441,9,6,3,0,14,68,7,5.58,70.2,65.9,69.0,75.6,66.7,54.8,48.6
1105061,광진구,구의2동,45.1,44.2,46.0,176,0,441,9,6,3,0,14,68,7,5.58,70.2,65.9,69.0,75.6,66.7,54.8,48.6
1105062,광진구,구의3동,43.6,43.2,44.0,176,0,441,9,6,3,0,14,68,7,5.58,70.2,65.9,69.0,75.6,66.7,54.8,48.6
1105063,광진구,광장동,40.7,40.0,41.2,176,0,441,9,6,3,0,14,68,7,5.58,70.2,65.9,69.0,75.6,66.7,54.8,48.6
1105064,광진구,자양1동,44.6,43.4,45.7,176,0,441,9,6,3,0,14,68,7,5.58,70.2,65.9,69.0,75.6,66.7,54.8,48.6
1105065,광진구,자양2동,45.1,44.3,45.8,176,0,441,9,6,3,0,14,68,7,5.58,70.2,65.9,69.0,75.6,66.7,54.8,48.6
1105066,광진구,자양3동,43.7,43.0,44.3,176,0,441,9,6,3,0,14,68,7,5.58,70.2,65.9,69.0,75.6,66.7,54.8,48.6
1105067,광진구,자양4동,46.3,45.7,46.9,176,0,441,9,6,3,0,14,68,7,5.58,70.2,65.9,69.0,75.6,66.7,54.8,48.6
1106071,동대문구,회기동,40.2,39.6,40.7,251,3,388,6,1,5,0,3,92,8,6.02,70.4,66.8,67.7,83.2,71.1,63.1,60.9
1106072,동대문구,휘경1동,41.7,41.9,41.5,251,3,388,6,1,5,0,3,92,8,6.02,70.4,66.8,67.7,83.2,71.1,63.1,60.9
1106073,동대문구,휘경2동,42.8,41.9,43.8,251,3,388,6,1,5,0,3,92,8,6.02,70.4,66.8,67.7,83.2,71.1,63.1,60.9
